Address,Zip,List Price,Close Price,Subsidy,BRs,Bas,1/2 Bas,Close Date
1123 6TH ST NW #201,20001," $799,999 "," $775,000 ", $-   ,3,3,1,1/31/2014
1010 MASSACHUSETTS AVE NW #402,20001," $650,000 "," $640,000 ", $-   ,2,2,0,1/17/2014
777 7TH ST NW #1026,20001," $609,000 "," $609,000 "," $2,500 ",2,2,0,1/29/2014
163 U ST NW,20001," $683,999 "," $675,000 "," $13,900 ",4,3,1,1/8/2014
1125 11TH ST NW #304,20001," $364,900 "," $375,000 "," $15,000 ",1,1,1,1/10/2014
400 MASSACHUSETTS AVE NW #610,20001," $355,000 "," $345,000 "," $1,000 ",1,1,0,1/14/2014
1700 2ND ST NW #6,20001," $380,000 "," $380,000 "," $3,300 ",1,1,0,1/28/2014
1700 2ND ST NW #9,20001," $365,000 "," $365,000 ", $-   ,1,1,0,1/31/2014
1653 NEW JERSEY AVE NW #1,20001," $525,000 "," $510,000 ", $-   ,2,2,0,1/14/2014
921 BUTTERNUT ST NW #204,20001," $319,900 "," $314,900 ", $-   ,2,2,0,1/3/2014
752 HARVARD ST NW,20001," $579,900 "," $577,300 ", $-   ,3,3,1,1/2/2014
753 FAIRMONT ST NW #1,20001," $799,900 "," $817,000 ", $450 ,3,2,1,1/15/2014
1323 NAYLOR COURT NW,20001," $1,675,000 "," $1,630,000 ", $-   ,3,4,1,1/29/2014
1001 L ST NW #609,20001," $479,000 "," $470,000 ", $-   ,1,1,0,1/10/2014
125 S ST NW,20001," $725,000 "," $716,326 "," $14,326 ",3,2,1,1/3/2014
1810 1ST ST NW #2,20001," $775,000 "," $740,000 "," $2,500 ",3,2,0,1/10/2014
475 K ST NW #1203,20001," $454,900 "," $455,000 "," $10,000 ",1,1,0,1/9/2014
475 K ST NW #820,20001," $425,000 "," $422,500 ", $-   ,1,1,0,1/17/2014
67 W ST NW,20001," $779,900 "," $765,000 ", $-   ,4,3,1,1/15/2014
1735 1ST ST NW #UNIT 2,20001," $614,900 "," $625,000 ", $-   ,3,3,0,1/15/2014
451 S ST NW,20001," $949,500 "," $950,000 "," $2,000 ",5,5,1,1/24/2014
139 V ST NW,20001," $735,000 "," $710,000 "," $9,000 ",5,2,1,1/17/2014
1117 10TH ST NW #1009,20001," $434,500 "," $425,000 ", $-   ,1,1,0,1/8/2014
1158 1ST ST NW,20001," $375,000 "," $375,000 "," $5,000 ",3,1,1,1/24/2014
305N. W. T ST NW #B,20001," $660,000 "," $690,000 "," $5,000 ",3,3,1,1/28/2014
305 T ST NW #A,20001," $640,000 "," $640,000 "," $5,000 ",3,3,1,1/28/2014
1524 3RD ST NW,20001," $649,900 "," $620,000 ", $-   ,3,2,1,1/17/2014
2004 11TH ST NW #136,20001," $389,000 "," $380,000 ", $-   ,1,1,0,1/13/2014
117 T ST NW,20001," $560,000 "," $520,000 ", $-   ,3,3,1,1/10/2014
1908 6TH ST NW,20001," $789,900 "," $789,000 "," $10,000 ",3,3,1,1/29/2014
1515 11TH ST NW #1-1,20001," $418,500 "," $443,500 ", $-   ,1,1,1,1/6/2014
921 BUTTERNUT ST NW #304,20001," $319,900 "," $319,900 ", $-   ,2,2,0,1/3/2014
1938 2ND ST NW,20001," $949,900 "," $1,025,000 ", $-   ,5,3,1,1/15/2014
51 RANDOLPH PL NW #401,20001," $270,000 "," $265,000 ", $-   ,1,1,0,1/24/2014
555 MASSACHUSETTS AVE NW #1217,20001," $475,000 "," $480,000 ", $-   ,1,1,0,1/31/2014
2531 11TH ST NW,20001," $799,000 "," $800,000 "," $10,000 ",4,3,1,1/17/2014
1516 1ST ST NW,20001," $649,000 "," $649,000 ", $-   ,2,2,1,1/31/2014
14 O ST NW,20001," $449,900 "," $436,500 ", $-   ,2,2,0,1/17/2014
2004 11TH ST NW #325,20001," $395,000 "," $395,000 ", $-   ,1,1,0,1/27/2014
1309 6TH ST NW,20001," $600,000 "," $600,000 ", $-   ,5,4,0,1/29/2014
9 U ST NW,20001," $576,500 "," $532,000 ", $-   ,5,2,0,1/31/2014
1242 11TH ST NW,20001," $599,000 "," $600,000 ", $-   ,3,2,0,1/30/2014
5 V ST NW,20001," $390,000 "," $511,000 ", $-   ,3,1,1,1/23/2014
777 7TH ST NW #624,20001," $549,500 "," $549,500 ", $-   ,2,2,0,1/20/2014
2101 NW #405,20001," $479,000 "," $475,000 "," $1,719 ",1,1,0,1/29/2014
I Street NW #701,20001," $785,000 "," $785,000 ", $-   ,1,1,1,1/23/2014
2713 11TH ST NW #1,20001," $615,000 "," $615,000 "," $2,000 ",3,3,0,1/17/2014
1917 2ND ST NE #301,20002," $332,000 "," $326,000 ", $500 ,2,2,0,1/2/2014
337 10TH ST NE,20002," $700,000 "," $740,000 ", $-   ,4,2,0,1/2/2014
1221 TRINIDAD AVE NE,20002," $399,000 "," $410,000 ", $-   ,3,1,0,1/3/2014
1606 ISHERWOOD ST NE #1,20002," $279,972 "," $274,000 "," $8,220 ",1,1,0,1/7/2014
212 15TH ST NE,20002," $768,500 "," $768,500 ", $-   ,4,3,1,1/7/2014
106 TENNESSEE AVE NE #7,20002," $464,900 "," $465,000 "," $5,000 ",2,1,0,1/8/2014
1326 CORBIN PL NE,20002," $530,000 "," $490,000 ", $-   ,3,1,0,1/9/2014
113 5TH ST NE,20002," $950,000 "," $1,000,000 ", $-   ,3,4,0,1/10/2014
1729 LANG PL NE,20002," $385,000 "," $355,000 "," $10,650 ",3,2,1,1/10/2014
644 ORLEANS PL NE,20002," $635,000 "," $635,000 ", $-   ,3,2,1,1/10/2014
141 12TH ST NE #1,20002," $448,500 "," $440,000 ", $-   ,2,1,1,1/10/2014
1132 6TH ST NE #2,20002," $399,900 "," $394,000 "," $11,820 ",2,2,0,1/10/2014
1848 L ST NE,20002," $324,900 "," $350,000 "," $8,000 ",2,1,1,1/13/2014
1609 ISHERWOOD ST NE #1,20002," $239,000 "," $235,000 ", $-   ,1,1,0,1/14/2014
1349 EMERALD ST NE,20002," $509,990 "," $502,900 "," $11,000 ",3,1,1,1/14/2014
801 9TH ST NE,20002," $347,500 "," $347,500 ", $-   ,3,1,0,1/14/2014
32 Q ST NE,20002," $761,750 "," $761,750 ", $-   ,4,3,1,1/14/2014
1221 CONSTITUTION AVE NE,20002," $844,000 "," $844,000 ", $-   ,3,1,1,1/15/2014
1350 LEVIS ST NE,20002," $320,000 "," $320,000 ", $-   ,3,1,0,1/15/2014
1661 MONTELLO AVE NE,20002," $274,900 "," $295,000 ", $-   ,4,2,0,1/16/2014
1029 6TH ST NE,20002," $649,900 "," $640,000 ", $-   ,4,2,1,1/16/2014
56 Q ST NE #1,20002," $549,900 "," $550,000 ", $-   ,3,2,1,1/17/2014
1137 19TH ST NE,20002," $319,000 "," $305,000 "," $9,150 ",2,1,0,1/17/2014
612 14TH PL NE #2,20002," $294,500 "," $285,000 "," $1,000 ",1,1,0,1/17/2014
1304 TRINIDAD AVE NE,20002," $589,900 "," $595,000 ", $-   ,4,3,1,1/17/2014
625 A ST NE,20002," $1,495,000 "," $1,505,000 ", $-   ,3,2,1,1/17/2014
1417 HOLBROOK ST NE,20002," $445,000 "," $440,000 "," $2,000 ",3,2,0,1/17/2014
1217 18TH ST NE,20002," $505,000 "," $500,000 "," $10,000 ",4,3,1,1/17/2014
56 Q ST NE #2,20002," $669,900 "," $680,000 "," $10,000 ",3,2,1,1/17/2014
1207 QUEEN ST NE,20002," $240,000 "," $240,000 ", $-   ,3,1,1,1/17/2014
1917 2ND ST NE #302,20002," $330,000 "," $330,000 "," $2,000 ",2,2,0,1/21/2014
643 20TH ST NE,20002," $250,000 "," $230,000 ", $-   ,2,1,1,1/24/2014
207 ASCOT PL NE,20002," $499,000 "," $499,000 ", $-   ,4,3,1,1/24/2014
448 20TH ST NE,20002," $449,990 "," $449,990 ", $-   ,2,2,1,1/24/2014
612 L ST NE,20002," $749,900 "," $754,900 ", $-   ,4,3,1,1/24/2014
1420 TRINIDAD AVE NE,20002," $564,900 "," $560,000 "," $3,300 ",4,3,1,1/27/2014
1243 E ST NE,20002," $899,000 "," $880,000 ", $-   ,3,3,1,1/27/2014
641 L ST NE,20002," $710,000 "," $710,000 "," $19,944 ",3,2,0,1/28/2014
1709 LANG PL NE,20002," $189,900 "," $130,000 ", $-   ,2,1,1,1/29/2014
812 6TH ST NE,20002," $618,000 "," $645,000 ", $-   ,3,2,1,1/30/2014
1224 MONTELLO AVE NE,20002," $152,000 "," $170,000 ", $-   ,2,1,0,1/31/2014
1120 MORSE ST NE,20002," $699,900 "," $716,500 ", $-   ,5,3,1,1/31/2014
1343-1345 PENNSYLVANIA AVE SE #1,20003," $325,000 "," $355,000 ", $-   ,2,2,0,1/1/2014
1000 NEW JERSEY AVE SE #1221,20003," $259,555 "," $215,000 ", $-   ,0,1,0,1/3/2014
915 POTOMAC AVE SE,20003," $489,000 "," $485,000 "," $2,200 ",2,1,1,1/3/2014
1363 K ST SE #C,20003," $199,500 "," $192,000 ", $-   ,1,1,0,1/7/2014
301 KENTUCKY AVE SE,20003," $862,000 "," $862,000 ", $-   ,3,3,1,1/7/2014
1391 PENNSYLVANIA AVE SE #M01,20003," $429,900 "," $435,000 ", $400 ,2,2,0,1/9/2014
106 15TH ST SE,20003," $699,950 "," $699,950 "," $5,000 ",4,2,1,1/9/2014
3 LIBRARY CT SE,20003," $599,000 "," $591,000 ", $-   ,2,1,1,1/10/2014
1000 NEW JERSEY AVE SE #1201,20003," $329,900 "," $315,000 "," $1,000 ",1,1,0,1/15/2014
433 7TH ST SE,20003," $699,000 "," $730,000 "," $2,000 ",3,2,1,1/16/2014
906 13TH ST SE,20003," $515,000 "," $515,000 "," $11,100 ",2,1,1,1/17/2014
135 11TH ST SE,20003," $849,900 "," $870,000 ", $-   ,3,2,1,1/17/2014
10 BROWNS CT SE,20003," $484,900 "," $475,000 "," $1,000 ",2,1,0,1/21/2014
1436 A ST SE,20003," $593,000 "," $615,000 ", $-   ,2,1,1,1/21/2014
720 KENTUCKY AVE SE,20003," $779,000 "," $770,000 ", $-   ,3,3,1,1/21/2014
1323 CAROLINA AVE SE,20003," $459,000 "," $453,000 ", $-   ,2,2,0,1/22/2014
142 D ST SE,20003," $699,000 "," $670,000 "," $7,500 ",2,1,1,1/24/2014
501 KENTUCKY AVE SE,20003," $725,000 "," $725,000 "," $7,250 ",3,2,1,1/28/2014
1025 1ST ST SE #1104,20003," $439,700 "," $439,000 "," $5,000 ",1,1,0,1/30/2014
913 5TH ST SE,20003," $519,000 "," $510,000 "," $10,949 ",2,2,1,1/31/2014
1431 EAST CAPITOL ST SE,20003," $749,000 "," $740,000 "," $15,000 ",4,2,1,1/31/2014
