Address,Zip,List Price,Close Price,Subsidy,BRs,Bas,1/2 Bas,Close Date
3061 PORTER ST NW,20008," $1,025,000 "," $1,157,000 ", $-   ,4,3,0,11/25/2013
3100 CONNECTICUT AVE NW #327,20008," $399,000 "," $399,000 ", $500 ,1,1,0,11/25/2013
4740 CONNECTICUT AVE NW #914,20008," $319,500 "," $319,500 "," $5,000 ",1,1,0,11/25/2013
2725 CONNECTICUT AVE NW #209,20008," $529,000 "," $536,000 "," $1,000 ",2,2,0,11/25/2013
3001 VEAZEY TERR NW #833,20008," $495,000 "," $495,000 ", $-   ,2,2,0,11/26/2013
3306 PORTER ST NW,20008," $1,250,000 "," $1,100,000 ", $-   ,4,2,1,11/22/2013
1350 S ST NW,20009," $799,900 "," $605,000 ", $-   ,4,2,0,11/29/2013
1701 16TH ST NW #730,20009," $315,000 "," $307,000 ", $500 ,1,1,0,11/15/2013
1740 18TH ST NW #T-1,20009," $262,500 "," $220,000 "," $3,000 ",0,1,0,11/20/2013
1841 KALORAMA RD NW #1,20009," $639,000 "," $620,000 ", $-   ,2,2,0,11/27/2013
1341 FAIRMONT ST NW #1,20009," $450,000 "," $440,000 ", $-   ,2,1,1,11/22/2013
1669 COLUMBIA RD NW #213,20009," $339,000 "," $339,000 ", $750 ,2,2,0,11/8/2013
1801 CLYDESDALE PL NW #325,20009," $154,200 "," $152,000 "," $2,000 ",0,1,0,11/25/2013
1859 CALIFORNIA ST NW,20009," $1,899,000 "," $1,885,000 ", $-   ,6,4,1,11/13/2013
1669 COLUMBIA RD NW #316,20009," $375,000 "," $365,000 ", $500 ,2,2,0,11/1/2013
1622 19TH ST NW #1,20009," $699,999 "," $655,000 ", $-   ,2,2,0,11/22/2013
1312 FLORIDA AVE NW #TERRACE #1,20009," $449,000 "," $465,000 ", $-   ,2,2,0,11/7/2013
1823 BILTMORE ST NW #15,20009," $349,999 "," $348,000 ", $-   ,1,1,0,11/4/2013
2328 CHAMPLAIN ST NW #201,20009," $629,900 "," $599,000 ", $-   ,2,2,0,11/4/2013
1618 Q ST NW,20009," $990,000 "," $1,140,000 ", $-   ,3,2,0,11/18/2013
1724 17TH ST NW #66,20009," $435,000 "," $445,000 ", $870 ,1,1,0,11/22/2013
2022 COLUMBIA RD NW #707,20009," $1,650,000 "," $1,525,000 ", $-   ,2,2,0,11/15/2013
1704 T ST NW #403,20009," $799,900 "," $781,375 ", $-   ,2,2,1,11/25/2013
2450 ONTARIO RD NW #2,20009," $629,000 "," $629,000 ", $-   ,2,2,0,11/5/2013
1717 T ST NW #1,20009," $469,000 "," $460,000 "," $14,300 ",2,1,0,11/25/2013
1700 KALORAMA RD NW #402,20009," $899,900 "," $899,000 "," $3,000 ",2,2,0,11/14/2013
1701 16TH ST NW #124,20009," $434,900 "," $424,900 "," $6,000 ",2,1,0,11/12/2013
1807 CALIFORNIA ST NW #102,20009," $410,000 "," $405,000 ", $-   ,2,1,0,11/12/2013
1933 S ST NW #D,20009," $524,900 "," $524,900 ", $-   ,1,1,1,11/4/2013
1840 CALIFORNIA ST NW #20A,20009," $339,000 "," $330,000 "," $3,000 ",1,1,0,11/22/2013
1700 KALORAMA RD NW #204,20009," $745,000 "," $720,000 ", $-   ,2,2,0,11/26/2013
1727 Q ST NW,20009," $1,870,000 "," $1,870,000 ", $-   ,4,3,1,11/14/2013
1810 KALORAMA RD NW #B4,20009," $489,999 "," $530,000 ", $250 ,1,1,1,11/22/2013
2363 CHAMPLAIN ST NW #28,20009," $575,000 "," $622,000 ", $-   ,2,2,1,11/1/2013
1701 16TH ST NW #407,20009," $179,500 "," $170,000 ", $-   ,0,1,0,11/8/2013
2515 17TH ST NW #3,20009," $474,900 "," $460,000 ", $-   ,2,2,0,11/12/2013
2125 14TH ST NW #301-W,20009," $1,199,900 "," $1,080,000 ", $-   ,3,2,1,11/22/2013
1733 19TH ST NW,20009," $1,850,000 "," $1,850,000 ", $-   ,5,5,0,11/22/2013
1937 CALVERT ST NW #C,20009," $439,000 "," $439,000 ", $-   ,2,1,0,11/1/2013
1822 15TH ST NW #101,20009," $379,000 "," $402,500 ", $-   ,1,1,0,11/15/2013
2105 12TH ST NW #1,20009," $894,555 "," $894,555 "," $1,864 ",3,3,1,11/20/2013
2220 20TH ST NW #45,20009," $435,000 "," $435,000 ", $-   ,1,1,0,11/22/2013
1325 FAIRMONT ST NW #2,20009," $489,000 "," $485,000 "," $10,850 ",2,1,1,11/26/2013
1401 COLUMBIA RD NW #302,20009," $465,000 "," $465,000 "," $7,000 ",2,1,0,11/15/2013
1308 CLIFTON ST NW #403,20009," $349,000 "," $349,000 "," $2,500 ",1,1,0,11/22/2013
2001 16 ST NW #204,20009," $349,900 "," $345,000 ", $-   ,1,1,0,11/7/2013
2332 19TH ST NW,20009," $1,200,000 "," $1,207,555 ", $-   ,5,3,0,11/4/2013
1619 V ST NW,20009," $889,000 "," $890,000 ", $-   ,4,2,0,11/12/2013
1745 KALORAMA RD NW #B1,20009," $745,000 "," $720,000 ", $-   ,3,2,0,11/22/2013
2310 ASHMEAD PL NW #304,20009," $295,000 "," $295,000 ", $-   ,1,1,0,11/23/2013
1820 T ST NW #3,20009," $399,000 "," $399,000 ", $-   ,1,1,0,11/6/2013
1825 T ST NW #701,20009," $239,900 "," $235,000 ", $-   ,0,1,0,11/15/2013
1902 KALORAMA PL NW #1054,20009," $629,500 "," $629,500 ", $-   ,2,2,0,11/6/2013
