Address,Zip,List Price,Close Price,Subsidy,BRs,Bas,1/2 Bas,Close Date
52 QUINCY PL NW #304,20001,"$384,900 ","$380,500 ",$150 ,2,1,1,1/28/2015
1306 8TH ST NW #1,20001,"$489,000 ","$450,000 ","$5,000 ",2,2,0,1/20/2015
925 H ST NW #313,20001,"$713,000 ","$713,000 ","$7,130 ",1,1,0,1/2/2015
56 NEW YORK AVE NW,20001,"$799,900 ","$765,000 ","$15,000 ",4,3,1,1/5/2015
741 GIRARD ST NW,20001,"$565,000 ","$460,000 ",$0 ,3,2,2,1/13/2015
809 6TH ST NW #13,20001,"$359,900 ","$335,000 ","$3,100 ",1,1,0,1/9/2015
437 RIDGE ST NW,20001,"$350,000 ","$385,000 ",$0 ,2,1,0,1/6/2015
939 M ST NW #UNIT A,20001,"$1,199,000 ","$1,082,500 ",$0 ,4,3,1,1/9/2015
811 4TH ST NW #505,20001,"$639,900 ","$627,000 ","$3,000 ",2,2,0,1/30/2015
206 P ST NW #1,20001,"$599,900 ","$550,000 ",$0 ,3,3,1,1/30/2015
717 GIRARD ST NW,20001,"$450,000 ","$450,000 ",$0 ,3,1,1,1/15/2015
1227 1ST ST NW,20001,"$579,000 ","$579,000 ","$20,000 ",2,2,1,1/14/2015
714 RHODE ISLAND AVE NW,20001,"$495,000 ","$495,000 ",$0 ,2,1,0,1/2/2015
910 M ST NW #514,20001,"$619,900 ","$619,900 ",$0 ,2,2,0,1/23/2015
1839 6TH ST NW #2,20001,"$549,000 ","$549,000 ",$0 ,2,2,1,1/7/2015
1839 6TH ST NW #3,20001,"$439,000 ","$441,000 ",$496 ,1,1,0,1/5/2015
1839 6TH ST NW #6,20001,"$819,000 ","$839,000 ",$0 ,2,2,1,1/12/2015
1839 6TH ST NW #7,20001,"$849,000 ","$915,500 ",$0 ,2,2,1,1/15/2015
55 NEW YORK AVE NW,20001,"$734,900 ","$738,500 ","$18,463 ",4,3,1,1/6/2015
910 M ST NW #320,20001,"$610,000 ","$600,000 ",$0 ,2,2,0,1/30/2015
910 M ST NW #1003,20001,"$510,000 ","$507,000 ",$0 ,1,1,1,1/30/2015
2920 GEORGIA AVE NW #102,20001,"$339,900 ","$339,900 ",$0 ,1,1,0,1/16/2015
116 SEATON PL NW,20001,"$710,000 ","$710,000 ",$0 ,5,3,1,1/8/2015
2920 GEORGIA AVE NW #404,20001,"$389,900 ","$389,900 ",$0 ,1,1,0,1/30/2015
2920 GEORGIA AVE NW #206,20001,"$359,900 ","$359,900 ","$3,500 ",1,1,0,1/7/2015
166 BRYANT ST NW,20001,"$749,000 ","$710,000 ","$6,000 ",3,3,1,1/21/2015
