line,name,address,description,trade_name
"blue, orange",McPherson Sq,"1010 Vermont AVE NW, Washington, DC 20005",Tavern,Josephine
red,Union Station,"14 F ST NW, Washington, DC 20001",Tavern,Kellys Irish Times
"red, blue, orange",Metro Center,"1310 G ST NW, Washington, DC 20005",Tavern,Laughing Man
"red, green, yellow",Gallery Pl | Chinatown,"601 F ST NW C, Washington, DC 20004",Tavern,Levy Restaurant at MCI Center - Capitol Club
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"2001 11TH ST NW B, Washington, DC 20001",Nightclub,LIV Nightclub
"green, yellow",Mt Vernon Sq | 7th St | Convention Cen,"1240 9TH ST NW, WASHINGTON, DC 20001",Tavern,Lost and Found
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"2001 14TH ST NW, WASHINGTON, DC 20009",Tavern,Lost Society
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"1013 U ST NW, Washington, DC 20009",Tavern,Lounge of Three
"green,yellow",Columbia Heights,"1400 IRVING ST NW, WASHINGTON, DC 20010",Tavern,Lous Bar & Grill
"red, green, yellow",Gallery Pl | Chinatown,"701 7TH ST NW C, Washington, DC 20001",Nightclub,Lucky Strike
"green, yellow",Mt Vernon Sq | 7th St | Convention Cen,"649 NEW YORK AVE NW, Washington, DC 20001",Nightclub,LUX
red,Farragut North,"1823 L ST NW, Washington, DC 20036",Tavern,Mackeys
"blue, orange",Farragut West,"1823 L ST NW, Washington, DC 20036",Tavern,Mackeys
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"2007 14TH ST NW, Washington, DC 20009",Tavern,Marvin
"green,yellow",Shaw | Howard Univ,"1843 7TH ST NW, WASHINGTON, DC 20001",Tavern,Mockingbird Hill
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"2001 14TH ST NW, WASHINGTON, DC 20009",Nightclub,Music & Arts Club/Tropicalia
red,Cleveland Park,"3319 CONNECTICUT AVE NW, WASHINGTON, DC 20008",Tavern,Nanny OBriens Irish Pub
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"1336 U ST NW, WASHINGTON, DC 20009",Tavern,New Town Kitchen and Lounge
